PeriodID,Week,DAY,PeriodNumber
1,A,Monday,1
2,A,Monday,2
3,A,Monday,3
4,A,Monday,4
5,A,Monday,5
6,A,Monday,6
7,A,Monday,7
8,A,Tuesday,1
9,A,Tuesday,2
10,A,Tuesday,3
11,A,Tuesday,4
12,A,Tuesday,5
13,A,Tuesday,6
14,A,Tuesday,7
15,A,Wednesday,1
16,A,Wednesday,2
17,A,Wednesday,3
18,A,Wednesday,4
19,A,Wednesday,5
20,A,Wednesday,6
21,A,Wednesday,7
22,A,Thursday,1
23,A,Thursday,2
24,A,Thursday,3
25,A,Thursday,4
26,A,Thursday,5
27,A,Thursday,6
28,A,Thursday,7
29,A,Friday,1
30,A,Friday,2
31,A,Friday,3
32,A,Friday,4
33,A,Friday,5
34,A,Friday,6
35,A,Friday,7
36,B,Monday,1
37,B,Monday,2
38,B,Monday,3
39,B,Monday,4
40,B,Monday,5
41,B,Monday,6
42,B,Monday,7
43,B,Tuesday,1
44,B,Tuesday,2
45,B,Tuesday,3
46,B,Tuesday,4
47,B,Tuesday,5
48,B,Tuesday,6
49,B,Tuesday,7
50,B,Wednesday,1
51,B,Wednesday,2
52,B,Wednesday,3
53,B,Wednesday,4
54,B,Wednesday,5
55,B,Wednesday,6
56,B,Wednesday,7
57,B,Thursday,1
58,B,Thursday,2
59,B,Thursday,3
60,B,Thursday,4
61,B,Thursday,5
62,B,Thursday,6
63,B,Thursday,7
64,B,Friday,1
65,B,Friday,2
66,B,Friday,3
67,B,Friday,4
68,B,Friday,5
69,B,Friday,6
70,B,Friday,7
